#,time,well_pump,new_fridge,water_heater,old_fridge
107,02/11/2021 02:40:36 PM,0.061,0.708,0.122,0.073
108,02/11/2021 02:41:36 PM,0.061,0.696,0.098,0.073
109,02/11/2021 02:42:36 PM,0.073,0.696,0.098,0.073
110,02/11/2021 02:43:36 PM,0.061,0.696,0.098,0.073
111,02/11/2021 02:44:36 PM,0.073,0.696,0.098,0.073
112,02/11/2021 02:45:36 PM,0.061,0.684,0.098,0.073
113,02/11/2021 02:46:36 PM,0.073,0.684,0.098,0.073
114,02/11/2021 02:47:36 PM,0.061,0.684,0.122,0.073
115,02/11/2021 02:48:36 PM,0.061,0.684,0.098,0.073
116,02/11/2021 02:49:36 PM,0.073,0.684,0.098,0.073
117,02/11/2021 02:50:36 PM,0.073,0.684,0.098,0.073
118,02/11/2021 02:51:36 PM,0.073,0.684,0.122,0.073
119,02/11/2021 02:52:36 PM,0.061,0.684,0.098,0.073
120,02/11/2021 02:53:36 PM,0.061,0.684,0.122,0.073
121,02/11/2021 02:54:36 PM,0.061,0.684,0.098,0.073
122,02/11/2021 02:55:36 PM,0.073,0.696,0.098,0.073
123,02/11/2021 02:56:36 PM,0.061,0.684,0.122,0.073
124,02/11/2021 02:57:36 PM,0.073,0.672,0.122,0.073
125,02/11/2021 02:58:36 PM,0.073,0.672,0.098,0.073
126,02/11/2021 02:59:36 PM,0.073,0.672,0.098,0.073
127,02/11/2021 03:00:36 PM,0.061,0.672,0.098,0.049
128,02/11/2021 03:01:36 PM,0.061,0.672,0.098,0.049
129,02/11/2021 03:02:36 PM,0.061,0.672,0.098,0.073
130,02/11/2021 03:03:36 PM,0.073,0.672,0.098,0.073
131,02/11/2021 03:04:36 PM,0.061,0.672,0.098,0.073
132,02/11/2021 03:05:36 PM,0.073,0.672,0.098,0.073
133,02/11/2021 03:06:36 PM,0.073,0.672,0.122,0.073
134,02/11/2021 03:07:36 PM,0.073,0.672,0.098,0.073
135,02/11/2021 03:08:36 PM,0.061,0.672,0.098,0.073
136,02/11/2021 03:09:36 PM,0.073,0.672,0.098,0.073
137,02/11/2021 03:10:36 PM,0.073,0.672,0.122,0.098
138,02/11/2021 03:11:36 PM,0.073,0.659,0.098,0.073
139,02/11/2021 03:12:36 PM,0.073,0.672,0.098,0.073
140,02/11/2021 03:13:36 PM,0.073,0.672,0.098,0.073
141,02/11/2021 03:14:36 PM,0.061,0.672,0.098,0.073
142,02/11/2021 03:15:36 PM,0.073,0.659,0.098,0.073
143,02/11/2021 03:16:36 PM,0.073,0.659,0.098,0.073
144,02/11/2021 03:17:36 PM,0.061,0.672,0.098,0.073
145,02/11/2021 03:18:36 PM,0.073,0.659,0.098,0.098
146,02/11/2021 03:19:36 PM,0.073,0.659,0.098,0.073
147,02/11/2021 03:20:36 PM,0.073,0.659,0.098,0.073
148,02/11/2021 03:21:36 PM,0.073,0.659,0.122,0.073
149,02/11/2021 03:22:36 PM,0.061,0.659,0.098,0.073
150,02/11/2021 03:23:36 PM,6.581,0.684,0.122,0.073
151,02/11/2021 03:24:36 PM,0.073,0.659,0.098,0.073
152,02/11/2021 03:25:36 PM,0.073,0.659,0.122,0.073
153,02/11/2021 03:26:36 PM,0.073,0.659,0.098,0.073
154,02/11/2021 03:27:36 PM,0.061,0.659,0.122,0.073
155,02/11/2021 03:28:36 PM,0.061,0.659,0.098,0.073
156,02/11/2021 03:29:36 PM,0.061,0.659,0.098,0.073
157,02/11/2021 03:30:36 PM,0.073,0.659,0.098,0.073
158,02/11/2021 03:31:36 PM,0.061,0.659,0.098,0.073
159,02/11/2021 03:32:36 PM,0.061,0.659,0.073,0.073
160,02/11/2021 03:33:36 PM,0.073,0.647,0.098,0.073
161,02/11/2021 03:34:36 PM,0.073,0.659,0.098,0.073
162,02/11/2021 03:35:36 PM,0.061,0.659,0.098,0.073
163,02/11/2021 03:36:36 PM,0.073,0.659,0.122,0.073
164,02/11/2021 03:37:36 PM,0.061,0.659,0.098,0.073
165,02/11/2021 03:38:36 PM,0.061,0.659,0.098,0.073
166,02/11/2021 03:39:36 PM,0.073,0.659,0.098,0.073
167,02/11/2021 03:40:36 PM,0.073,0.647,0.098,0.098
168,02/11/2021 03:41:36 PM,0.073,0.659,0.122,0.073
169,02/11/2021 03:42:36 PM,0.073,0.659,0.098,0.098
170,02/11/2021 03:43:36 PM,0.061,0.659,0.098,0.073
171,02/11/2021 03:44:36 PM,0.061,0.659,0.098,0.073
172,02/11/2021 03:45:36 PM,0.061,0.659,0.098,0.073
173,02/11/2021 03:46:36 PM,0.061,0.647,0.098,0.073
174,02/11/2021 03:47:36 PM,0.073,0.623,0.098,0.073
175,02/11/2021 03:48:36 PM,6.557,0.659,0.098,0.073
176,02/11/2021 03:49:36 PM,0.073,0.659,0.098,0.073
177,02/11/2021 03:50:36 PM,0.073,0.647,0.098,0.073
178,02/11/2021 03:51:36 PM,0.073,0.659,0.098,0.073
179,02/11/2021 03:52:36 PM,0.061,0.659,0.098,0.073
180,02/11/2021 03:53:36 PM,0.073,0.659,0.098,0.073
181,02/11/2021 03:54:36 PM,0.073,0.659,0.122,0.073
182,02/11/2021 03:55:36 PM,0.073,0.659,0.122,0.073
183,02/11/2021 03:56:36 PM,0.073,0.647,0.122,0.073
184,02/11/2021 03:57:36 PM,0.073,0.659,0.098,0.073
185,02/11/2021 03:58:36 PM,0.110,0.672,0.098,0.098
186,02/11/2021 03:59:36 PM,0.085,0.647,0.122,0.073
187,02/11/2021 04:00:36 PM,0.061,0.647,0.098,0.073
188,02/11/2021 04:01:36 PM,0.073,0.647,0.122,0.073
189,02/11/2021 04:02:36 PM,0.073,0.611,0.098,0.073
190,02/11/2021 04:03:36 PM,0.061,0.647,0.098,0.073
191,02/11/2021 04:04:36 PM,0.073,0.647,0.098,0.073
192,02/11/2021 04:05:36 PM,0.061,0.659,0.098,0.073
193,02/11/2021 04:06:36 PM,0.073,0.659,0.098,0.073
194,02/11/2021 04:07:36 PM,0.073,0.635,0.098,0.098
195,02/11/2021 04:08:36 PM,0.073,0.647,0.098,0.073
196,02/11/2021 04:09:36 PM,0.073,0.647,0.098,0.073
197,02/11/2021 04:10:36 PM,0.061,0.647,0.098,0.073
198,02/11/2021 04:11:36 PM,0.073,0.647,0.098,0.073
199,02/11/2021 04:12:36 PM,0.073,0.647,0.098,0.073
200,02/11/2021 04:13:36 PM,0.073,0.647,0.098,0.073
201,02/11/2021 04:14:36 PM,0.073,0.635,0.098,0.073
202,02/11/2021 04:15:36 PM,0.073,0.635,0.098,0.073
203,02/11/2021 04:16:36 PM,0.073,0.513,0.098,0.098
204,02/11/2021 04:17:36 PM,0.073,0.513,0.098,0.073
205,02/11/2021 04:18:36 PM,0.073,0.525,0.098,0.073
206,02/11/2021 04:19:36 PM,0.073,0.525,0.098,0.073
207,02/11/2021 04:20:36 PM,0.073,0.513,0.122,0.098
208,02/11/2021 04:21:36 PM,0.073,0.525,0.098,0.073
209,02/11/2021 04:22:36 PM,0.073,0.513,0.098,0.073
210,02/11/2021 04:23:36 PM,0.061,0.513,0.098,0.073
211,02/11/2021 04:24:36 PM,0.073,0.513,0.098,0.073
212,02/11/2021 04:25:36 PM,0.061,0.513,0.098,0.073
213,02/11/2021 04:26:36 PM,0.061,0.513,0.098,0.073
214,02/11/2021 04:27:36 PM,0.061,0.525,0.122,0.073
215,02/11/2021 04:28:36 PM,0.073,0.513,0.098,0.073
216,02/11/2021 04:29:36 PM,0.073,0.525,0.098,0.098
217,02/11/2021 04:30:36 PM,0.073,0.562,0.098,0.073
218,02/11/2021 04:31:36 PM,0.073,0.574,0.098,0.073
219,02/11/2021 04:32:36 PM,0.073,0.586,0.098,0.073
220,02/11/2021 04:33:36 PM,0.073,0.586,0.098,0.073
221,02/11/2021 04:34:36 PM,0.061,0.598,0.098,0.073
222,02/11/2021 04:35:36 PM,6.606,0.611,0.122,0.073
223,02/11/2021 04:36:36 PM,0.073,0.598,0.098,0.073
224,02/11/2021 04:37:36 PM,0.073,0.598,0.098,0.073
225,02/11/2021 04:38:36 PM,0.073,0.598,0.098,0.073
226,02/11/2021 04:39:36 PM,0.061,0.598,0.098,0.073
227,02/11/2021 04:40:36 PM,0.061,0.598,0.098,0.073
228,02/11/2021 04:41:36 PM,0.073,0.598,0.098,0.073
229,02/11/2021 04:42:36 PM,0.073,0.598,0.098,0.073
230,02/11/2021 04:43:36 PM,0.073,0.598,0.098,0.098
231,02/11/2021 04:44:36 PM,0.073,0.598,0.122,0.098
232,02/11/2021 04:45:36 PM,0.073,0.708,0.073,0.073
233,02/11/2021 04:46:36 PM,0.061,0.598,0.098,0.073
234,02/11/2021 04:47:36 PM,0.073,0.598,0.098,0.073
235,02/11/2021 04:48:36 PM,0.073,0.598,0.098,0.098
236,02/11/2021 04:49:36 PM,0.061,0.598,0.098,0.098
237,02/11/2021 04:50:36 PM,0.073,0.598,0.098,0.098
238,02/11/2021 04:51:36 PM,0.073,0.598,0.098,0.073
239,02/11/2021 04:52:36 PM,0.073,0.598,0.098,0.073
240,02/11/2021 04:53:36 PM,0.073,0.598,0.098,0.073
241,02/11/2021 04:54:36 PM,0.073,0.598,0.098,0.073
242,02/11/2021 04:55:36 PM,0.073,0.598,0.098,0.098
243,02/11/2021 04:56:36 PM,0.073,0.598,0.122,0.073
244,02/11/2021 04:57:36 PM,0.061,0.598,0.098,0.073
245,02/11/2021 04:58:36 PM,0.061,0.598,0.073,0.073
246,02/11/2021 04:59:36 PM,0.061,0.598,0.122,0.098
247,02/11/2021 05:00:36 PM,0.073,0.598,0.098,0.073
248,02/11/2021 05:01:36 PM,0.073,0.586,0.122,0.073
249,02/11/2021 05:02:36 PM,0.085,0.574,0.098,0.098
250,02/11/2021 05:03:36 PM,0.073,0.549,0.098,0.098
251,02/11/2021 05:04:36 PM,0.073,0.537,0.098,0.098
252,02/11/2021 05:05:36 PM,0.073,0.537,0.098,0.073
253,02/11/2021 05:06:36 PM,0.073,0.537,0.098,0.073
254,02/11/2021 05:07:36 PM,0.049,0.525,0.098,0.806
255,02/11/2021 05:08:36 PM,0.061,0.537,0.098,0.757
256,02/11/2021 05:09:36 PM,0.073,0.525,0.098,0.733
257,02/11/2021 05:10:36 PM,0.073,0.525,0.098,0.733
258,02/11/2021 05:11:36 PM,0.073,0.525,0.098,0.708
259,02/11/2021 05:12:36 PM,0.061,0.513,0.098,0.708
260,02/11/2021 05:13:36 PM,0.073,0.525,0.098,0.708
261,02/11/2021 05:14:36 PM,0.073,0.513,0.098,0.708
262,02/11/2021 05:15:36 PM,0.061,0.635,0.098,0.708
263,02/11/2021 05:16:36 PM,0.073,0.513,0.098,0.708
264,02/11/2021 05:17:36 PM,0.073,0.513,0.122,0.708
265,02/11/2021 05:18:36 PM,0.073,0.513,0.098,0.708
266,02/11/2021 05:19:36 PM,0.073,0.513,0.098,0.708
267,02/11/2021 05:20:36 PM,0.073,0.513,18.168,0.781
268,02/11/2021 05:21:36 PM,0.061,0.513,18.193,0.757
269,02/11/2021 05:22:36 PM,0.061,0.513,18.217,0.757
270,02/11/2021 05:23:36 PM,0.073,0.501,18.193,0.757
271,02/11/2021 05:24:36 PM,0.073,0.501,18.144,0.757
272,02/11/2021 05:25:36 PM,0.061,0.513,18.144,0.757
273,02/11/2021 05:26:36 PM,0.073,0.501,18.168,0.757
274,02/11/2021 05:27:36 PM,0.061,0.488,18.144,0.757
275,02/11/2021 05:28:36 PM,0.073,0.488,18.144,0.757
276,02/11/2021 05:29:36 PM,0.061,0.501,18.168,0.757
277,02/11/2021 05:30:36 PM,0.061,0.501,18.120,0.757
278,02/11/2021 05:31:36 PM,0.061,0.501,18.095,0.757
279,02/11/2021 05:32:36 PM,0.049,0.501,18.095,0.757
280,02/11/2021 05:33:36 PM,0.049,0.501,0.122,0.684
281,02/11/2021 05:34:36 PM,0.073,0.501,0.098,0.684
282,02/11/2021 05:35:36 PM,0.061,0.501,0.122,0.684
283,02/11/2021 05:36:36 PM,0.061,0.501,0.098,0.684
284,02/11/2021 05:37:36 PM,0.073,0.501,0.098,0.684
285,02/11/2021 05:38:36 PM,0.061,0.488,0.122,0.684
286,02/11/2021 05:39:36 PM,0.061,0.501,0.098,0.684
287,02/11/2021 05:40:36 PM,0.073,0.501,0.098,0.684
288,02/11/2021 05:41:36 PM,0.061,0.501,0.122,0.684
289,02/11/2021 05:42:36 PM,0.061,0.488,0.098,0.684
290,02/11/2021 05:43:36 PM,0.061,0.488,0.098,0.684
291,02/11/2021 05:44:36 PM,0.061,0.488,0.098,0.684
292,02/11/2021 05:45:36 PM,0.061,0.598,0.098,0.684
293,02/11/2021 05:46:36 PM,0.073,0.488,0.098,0.684
294,02/11/2021 05:47:36 PM,0.061,0.488,0.098,0.684
295,02/11/2021 05:48:36 PM,0.061,0.488,0.098,0.684
296,02/11/2021 05:49:36 PM,0.061,0.488,0.098,0.684
297,02/11/2021 05:50:36 PM,0.061,0.488,0.098,0.684
298,02/11/2021 05:51:36 PM,0.061,0.488,0.098,0.684
299,02/11/2021 05:52:36 PM,0.061,0.488,0.098,0.684
300,02/11/2021 05:53:36 PM,0.061,0.488,0.098,0.684
301,02/11/2021 05:54:36 PM,0.061,0.488,0.098,0.659
302,02/11/2021 05:55:36 PM,0.061,0.488,0.098,0.684
303,02/11/2021 05:56:36 PM,0.061,0.488,0.098,0.684
304,02/11/2021 05:57:36 PM,0.049,0.488,0.122,0.659
305,02/11/2021 05:58:36 PM,0.061,0.488,0.098,0.684
306,02/11/2021 05:59:36 PM,0.061,0.488,0.098,0.684
307,02/11/2021 06:00:36 PM,0.061,0.488,0.098,0.684
308,02/11/2021 06:01:36 PM,0.061,0.488,0.122,0.684
309,02/11/2021 06:02:36 PM,0.061,0.476,0.098,0.659
310,02/11/2021 06:03:36 PM,0.061,0.488,0.122,0.659
311,02/11/2021 06:04:36 PM,0.061,0.452,0.098,0.684
312,02/11/2021 06:05:36 PM,0.061,0.488,0.098,0.684
313,02/11/2021 06:06:36 PM,0.073,0.501,0.098,0.684
314,02/11/2021 06:07:36 PM,0.049,0.501,0.098,0.684
315,02/11/2021 06:08:36 PM,0.061,0.501,0.122,0.684
316,02/11/2021 06:09:36 PM,0.073,0.513,0.098,0.684
317,02/11/2021 06:10:36 PM,0.061,0.537,0.098,0.684
318,02/11/2021 06:11:36 PM,0.061,0.562,0.098,0.659
319,02/11/2021 06:12:36 PM,6.569,0.574,0.098,0.659
320,02/11/2021 06:13:36 PM,0.061,0.562,0.098,0.684
321,02/11/2021 06:14:36 PM,0.061,0.562,0.098,0.684
322,02/11/2021 06:15:36 PM,0.061,0.672,0.122,0.659
323,02/11/2021 06:16:36 PM,0.049,0.562,0.098,1.856
324,02/11/2021 06:17:36 PM,0.061,0.574,0.098,1.807
325,02/11/2021 06:18:36 PM,0.061,0.574,0.098,0.659
326,02/11/2021 06:19:36 PM,0.061,0.574,0.098,0.684
327,02/11/2021 06:20:36 PM,0.061,0.562,0.098,0.708
328,02/11/2021 06:21:36 PM,0.073,0.574,0.098,0.684
329,02/11/2021 06:22:36 PM,0.061,0.574,0.098,1.856
330,02/11/2021 06:23:36 PM,0.061,0.574,0.098,0.684
331,02/11/2021 06:24:36 PM,0.061,0.574,0.098,0.684
332,02/11/2021 06:25:36 PM,0.061,0.574,0.098,0.684
333,02/11/2021 06:26:36 PM,0.049,0.611,0.098,0.659
334,02/11/2021 06:27:36 PM,0.061,0.611,0.098,0.684
335,02/11/2021 06:28:36 PM,0.061,0.611,0.098,0.684
336,02/11/2021 06:29:36 PM,0.073,0.623,0.098,0.684
337,02/11/2021 06:30:36 PM,0.061,0.623,0.098,0.684
338,02/11/2021 06:31:36 PM,0.061,0.635,0.098,0.659
339,02/11/2021 06:32:36 PM,0.061,0.562,0.098,0.684
340,02/11/2021 06:33:36 PM,0.061,0.598,0.098,0.659
341,02/11/2021 06:34:36 PM,0.061,0.574,0.098,0.659
342,02/11/2021 06:35:36 PM,0.061,0.562,0.098,0.708
343,02/11/2021 06:36:36 PM,0.061,0.549,0.098,0.684
344,02/11/2021 06:37:36 PM,0.061,0.537,0.098,0.659
345,02/11/2021 06:38:36 PM,0.061,0.525,0.098,0.684
346,02/11/2021 06:39:36 PM,0.073,0.525,0.122,0.684
347,02/11/2021 06:40:36 PM,0.049,0.525,0.098,0.684
348,02/11/2021 06:41:36 PM,0.061,0.488,0.098,0.684
349,02/11/2021 06:42:36 PM,0.061,0.525,0.098,0.684
350,02/11/2021 06:43:36 PM,0.049,0.513,0.098,0.708
351,02/11/2021 06:44:36 PM,0.061,0.513,0.098,0.684
352,02/11/2021 06:45:36 PM,0.049,0.623,0.098,0.684
353,02/11/2021 06:46:36 PM,0.061,0.513,0.098,0.684
354,02/11/2021 06:47:36 PM,0.061,0.513,0.098,0.684
355,02/11/2021 06:48:36 PM,0.049,0.513,0.098,0.684
356,02/11/2021 06:49:36 PM,0.061,0.513,0.098,0.684
357,02/11/2021 06:50:36 PM,0.061,0.513,0.098,0.659
358,02/11/2021 06:51:36 PM,0.073,0.513,0.098,0.684
359,02/11/2021 06:52:36 PM,0.061,0.513,0.098,0.684
360,02/11/2021 06:53:36 PM,0.061,0.513,0.098,0.684
361,02/11/2021 06:54:36 PM,0.061,0.513,0.098,0.684
362,02/11/2021 06:55:36 PM,0.061,0.513,17.900,0.757
363,02/11/2021 06:56:36 PM,0.061,0.513,17.924,0.733
364,02/11/2021 06:57:36 PM,0.061,0.501,17.973,0.757
365,02/11/2021 06:58:36 PM,6.435,0.513,17.900,0.733
366,02/11/2021 06:59:36 PM,0.061,0.513,17.949,0.757
367,02/11/2021 07:00:36 PM,0.061,0.537,17.949,0.733
368,02/11/2021 07:01:36 PM,0.049,0.501,17.973,0.733
369,02/11/2021 07:02:36 PM,0.061,0.464,17.949,0.733
370,02/11/2021 07:03:36 PM,0.061,0.513,17.973,0.757
371,02/11/2021 07:04:36 PM,0.061,0.525,17.949,0.757
372,02/11/2021 07:05:36 PM,0.061,0.537,17.949,0.757
373,02/11/2021 07:06:36 PM,0.049,0.598,17.998,0.757
374,02/11/2021 07:07:36 PM,0.061,0.611,17.998,0.733
375,02/11/2021 07:08:36 PM,0.061,0.537,17.998,0.733
376,02/11/2021 07:09:36 PM,0.049,0.549,17.949,0.733
377,02/11/2021 07:10:36 PM,0.037,0.586,17.949,0.733
378,02/11/2021 07:11:36 PM,0.049,0.586,0.122,0.659
379,02/11/2021 07:12:36 PM,0.049,0.598,0.147,0.659
380,02/11/2021 07:13:36 PM,0.049,0.586,0.122,0.684
381,02/11/2021 07:14:36 PM,0.049,0.598,0.147,0.659
382,02/11/2021 07:15:36 PM,0.037,0.708,0.147,0.635
383,02/11/2021 07:16:36 PM,0.037,0.598,0.147,0.659
384,02/11/2021 07:17:36 PM,0.037,0.549,0.147,0.659
385,02/11/2021 07:18:36 PM,0.037,0.598,0.147,0.659
386,02/11/2021 07:19:36 PM,0.049,0.598,0.122,0.659
387,02/11/2021 07:20:36 PM,0.073,0.598,0.098,0.684
388,02/11/2021 07:21:36 PM,0.061,0.598,0.098,0.684
389,02/11/2021 07:22:36 PM,0.061,0.611,0.122,0.684
390,02/11/2021 07:23:36 PM,0.061,0.598,0.122,0.659
391,02/11/2021 07:24:36 PM,0.049,0.598,0.098,0.684
392,02/11/2021 07:25:36 PM,0.049,1.013,0.122,0.684
393,02/11/2021 07:26:36 PM,0.049,0.611,0.122,0.659
394,02/11/2021 07:27:36 PM,0.073,0.611,0.122,0.684
395,02/11/2021 07:28:36 PM,0.061,0.598,0.122,0.659
396,02/11/2021 07:29:36 PM,0.061,0.598,0.098,0.684
397,02/11/2021 07:30:36 PM,0.061,0.598,0.122,0.024
398,02/11/2021 07:31:36 PM,0.061,0.574,0.098,0.049
399,02/11/2021 07:32:36 PM,0.073,0.549,0.098,0.049
400,02/11/2021 07:33:36 PM,0.061,0.549,0.098,0.049
401,02/11/2021 07:34:36 PM,0.061,0.537,0.122,0.073
402,02/11/2021 07:35:36 PM,0.061,0.537,0.122,0.073
403,02/11/2021 07:36:36 PM,0.061,0.537,0.098,0.049
404,02/11/2021 07:37:36 PM,0.061,0.525,0.122,0.049
405,02/11/2021 07:38:36 PM,0.061,0.525,0.098,0.049
406,02/11/2021 07:39:36 PM,0.049,0.525,0.098,0.049
407,02/11/2021 07:40:36 PM,0.061,0.513,0.122,0.073
408,02/11/2021 07:41:36 PM,0.049,0.513,0.098,0.049
409,02/11/2021 07:42:36 PM,0.061,0.525,0.098,0.049
410,02/11/2021 07:43:36 PM,0.061,0.513,0.122,0.073
