#,time,water_pump,End Of File (LGR S/N: 1191118)
51,03/08/2021 09:26:25 AM,0.818,
52,03/08/2021 09:26:26 AM,0.818,
53,03/08/2021 09:26:27 AM,0.830,
54,03/08/2021 09:26:28 AM,0.842,
55,03/08/2021 09:26:29 AM,0.940,
56,03/08/2021 09:26:30 AM,0.855,
57,03/08/2021 09:26:31 AM,0.855,
58,03/08/2021 09:26:32 AM,0.855,
59,03/08/2021 09:26:33 AM,0.867,
60,03/08/2021 09:26:34 AM,0.842,
61,03/08/2021 09:26:35 AM,0.855,
62,03/08/2021 09:26:36 AM,0.867,
63,03/08/2021 09:26:37 AM,0.842,
64,03/08/2021 09:26:38 AM,0.830,
65,03/08/2021 09:26:39 AM,0.830,
66,03/08/2021 09:26:40 AM,0.842,
67,03/08/2021 09:26:41 AM,0.830,
68,03/08/2021 09:26:42 AM,0.855,
69,03/08/2021 09:26:43 AM,0.842,
70,03/08/2021 09:26:44 AM,0.842,
71,03/08/2021 09:26:45 AM,0.842,
72,03/08/2021 09:26:46 AM,0.818,
73,03/08/2021 09:26:47 AM,0.818,
74,03/08/2021 09:26:48 AM,0.855,
75,03/08/2021 09:26:49 AM,0.842,
76,03/08/2021 09:26:50 AM,0.830,
77,03/08/2021 09:26:51 AM,0.842,
78,03/08/2021 09:26:52 AM,0.830,
79,03/08/2021 09:26:53 AM,0.879,
80,03/08/2021 09:26:54 AM,0.904,
81,03/08/2021 09:26:55 AM,0.879,
82,03/08/2021 09:26:56 AM,0.842,
83,03/08/2021 09:26:57 AM,0.842,
84,03/08/2021 09:26:58 AM,0.842,
85,03/08/2021 09:26:59 AM,0.904,
86,03/08/2021 09:27:00 AM,0.904,
87,03/08/2021 09:27:01 AM,0.904,
88,03/08/2021 09:27:02 AM,0.916,
89,03/08/2021 09:27:03 AM,0.928,
90,03/08/2021 09:27:04 AM,0.916,
91,03/08/2021 09:27:05 AM,0.916,
92,03/08/2021 09:27:06 AM,0.916,
93,03/08/2021 09:27:07 AM,0.916,
94,03/08/2021 09:27:08 AM,0.916,
95,03/08/2021 09:27:09 AM,0.928,
96,03/08/2021 09:27:10 AM,0.916,
97,03/08/2021 09:27:11 AM,0.916,
98,03/08/2021 09:27:12 AM,0.916,
99,03/08/2021 09:27:13 AM,0.916,
100,03/08/2021 09:27:14 AM,0.916,
101,03/08/2021 09:27:15 AM,0.952,
102,03/08/2021 09:27:16 AM,0.952,
103,03/08/2021 09:27:17 AM,0.940,
104,03/08/2021 09:27:18 AM,0.965,
105,03/08/2021 09:27:19 AM,0.952,
106,03/08/2021 09:27:20 AM,0.952,
107,03/08/2021 09:27:21 AM,0.965,
108,03/08/2021 09:27:22 AM,0.965,
109,03/08/2021 09:27:23 AM,0.928,
110,03/08/2021 09:27:24 AM,0.940,
111,03/08/2021 09:27:25 AM,0.989,
112,03/08/2021 09:27:26 AM,0.965,
113,03/08/2021 09:27:27 AM,0.977,
114,03/08/2021 09:27:28 AM,0.965,
115,03/08/2021 09:27:29 AM,0.952,
116,03/08/2021 09:27:30 AM,0.977,
117,03/08/2021 09:27:31 AM,0.952,
118,03/08/2021 09:27:32 AM,0.965,
119,03/08/2021 09:27:33 AM,0.965,
120,03/08/2021 09:27:34 AM,0.952,
121,03/08/2021 09:27:35 AM,0.977,
122,03/08/2021 09:27:36 AM,0.965,
123,03/08/2021 09:27:37 AM,0.952,
124,03/08/2021 09:27:38 AM,0.952,
125,03/08/2021 09:27:39 AM,0.965,
126,03/08/2021 09:27:40 AM,0.952,
127,03/08/2021 09:27:41 AM,0.965,
128,03/08/2021 09:27:42 AM,0.952,
129,03/08/2021 09:27:43 AM,0.952,
130,03/08/2021 09:27:44 AM,0.965,
131,03/08/2021 09:27:45 AM,0.977,
132,03/08/2021 09:27:46 AM,0.965,
133,03/08/2021 09:27:47 AM,0.965,
134,03/08/2021 09:27:48 AM,0.965,
135,03/08/2021 09:27:49 AM,0.952,
136,03/08/2021 09:27:50 AM,0.952,
137,03/08/2021 09:27:51 AM,0.965,
138,03/08/2021 09:27:52 AM,0.965,
139,03/08/2021 09:27:53 AM,0.965,
140,03/08/2021 09:27:54 AM,0.940,
141,03/08/2021 09:27:55 AM,0.940,
142,03/08/2021 09:27:56 AM,0.928,
143,03/08/2021 09:27:57 AM,0.940,
144,03/08/2021 09:27:58 AM,0.940,
145,03/08/2021 09:27:59 AM,0.928,
146,03/08/2021 09:28:00 AM,0.940,
147,03/08/2021 09:28:01 AM,0.940,
148,03/08/2021 09:28:02 AM,0.940,
149,03/08/2021 09:28:03 AM,0.928,
150,03/08/2021 09:28:04 AM,0.928,
151,03/08/2021 09:28:05 AM,0.928,
152,03/08/2021 09:28:06 AM,0.928,
153,03/08/2021 09:28:07 AM,0.940,
154,03/08/2021 09:28:08 AM,0.952,
155,03/08/2021 09:28:09 AM,0.965,
156,03/08/2021 09:28:10 AM,1.001,
157,03/08/2021 09:28:11 AM,1.013,
158,03/08/2021 09:28:12 AM,0.989,
159,03/08/2021 09:28:13 AM,1.001,
160,03/08/2021 09:28:14 AM,0.989,
161,03/08/2021 09:28:15 AM,0.989,
162,03/08/2021 09:28:16 AM,0.989,
163,03/08/2021 09:28:17 AM,1.026,
164,03/08/2021 09:28:18 AM,1.038,
165,03/08/2021 09:28:19 AM,1.026,
166,03/08/2021 09:28:20 AM,1.038,
167,03/08/2021 09:28:21 AM,1.038,
168,03/08/2021 09:28:22 AM,1.026,
169,03/08/2021 09:28:23 AM,1.026,
170,03/08/2021 09:28:24 AM,1.026,
171,03/08/2021 09:28:25 AM,1.013,
172,03/08/2021 09:28:26 AM,1.026,
173,03/08/2021 09:28:27 AM,1.026,
174,03/08/2021 09:28:28 AM,1.026,
175,03/08/2021 09:28:29 AM,1.026,
176,03/08/2021 09:28:30 AM,1.038,
177,03/08/2021 09:28:31 AM,1.013,
178,03/08/2021 09:28:32 AM,1.013,
179,03/08/2021 09:28:33 AM,1.013,
180,03/08/2021 09:28:34 AM,1.001,
181,03/08/2021 09:28:35 AM,1.013,
182,03/08/2021 09:28:36 AM,0.977,
183,03/08/2021 09:28:37 AM,0.965,
184,03/08/2021 09:28:38 AM,0.965,
185,03/08/2021 09:28:39 AM,0.965,
186,03/08/2021 09:28:40 AM,0.952,
187,03/08/2021 09:28:41 AM,0.952,
188,03/08/2021 09:28:42 AM,0.952,
189,03/08/2021 09:28:43 AM,0.965,
190,03/08/2021 09:28:44 AM,0.977,
191,03/08/2021 09:28:45 AM,0.977,
192,03/08/2021 09:28:46 AM,0.977,
193,03/08/2021 09:28:47 AM,0.977,
194,03/08/2021 09:28:48 AM,0.952,
195,03/08/2021 09:28:49 AM,0.977,
196,03/08/2021 09:28:50 AM,0.952,
197,03/08/2021 09:28:51 AM,0.952,
198,03/08/2021 09:28:52 AM,0.952,
199,03/08/2021 09:28:53 AM,0.977,
200,03/08/2021 09:28:54 AM,0.965,
201,03/08/2021 09:28:55 AM,0.977,
202,03/08/2021 09:28:56 AM,0.989,
203,03/08/2021 09:28:57 AM,0.989,
204,03/08/2021 09:28:58 AM,0.989,
205,03/08/2021 09:28:59 AM,0.977,
206,03/08/2021 09:29:00 AM,0.989,
207,03/08/2021 09:29:01 AM,0.977,
208,03/08/2021 09:29:02 AM,0.965,
209,03/08/2021 09:29:03 AM,0.965,
210,03/08/2021 09:29:04 AM,0.977,
211,03/08/2021 09:29:05 AM,0.989,
212,03/08/2021 09:29:06 AM,0.965,
213,03/08/2021 09:29:07 AM,0.952,
214,03/08/2021 09:29:08 AM,0.965,
215,03/08/2021 09:29:09 AM,0.977,
216,03/08/2021 09:29:10 AM,0.977,
217,03/08/2021 09:29:11 AM,0.965,
218,03/08/2021 09:29:12 AM,0.952,
219,03/08/2021 09:29:13 AM,0.928,
220,03/08/2021 09:29:14 AM,0.928,
221,03/08/2021 09:29:15 AM,0.916,
222,03/08/2021 09:29:16 AM,0.952,
223,03/08/2021 09:29:17 AM,0.965,
224,03/08/2021 09:29:18 AM,0.952,
225,03/08/2021 09:29:19 AM,0.952,
226,03/08/2021 09:29:20 AM,0.965,
227,03/08/2021 09:29:21 AM,0.952,
228,03/08/2021 09:29:22 AM,0.916,
229,03/08/2021 09:29:23 AM,0.928,
230,03/08/2021 09:29:24 AM,0.952,
231,03/08/2021 09:29:25 AM,0.940,
232,03/08/2021 09:29:26 AM,0.940,
233,03/08/2021 09:29:27 AM,0.940,
234,03/08/2021 09:29:28 AM,0.940,
235,03/08/2021 09:29:29 AM,0.940,
236,03/08/2021 09:29:30 AM,0.940,
237,03/08/2021 09:29:31 AM,0.928,
238,03/08/2021 09:29:32 AM,0.940,
239,03/08/2021 09:29:33 AM,0.952,
240,03/08/2021 09:29:34 AM,0.940,
241,03/08/2021 09:29:35 AM,0.940,
242,03/08/2021 09:29:36 AM,0.940,
243,03/08/2021 09:29:37 AM,0.965,
244,03/08/2021 09:29:38 AM,0.952,
245,03/08/2021 09:29:39 AM,0.940,
246,03/08/2021 09:29:40 AM,0.940,
247,03/08/2021 09:29:41 AM,0.965,
248,03/08/2021 09:29:42 AM,0.989,
249,03/08/2021 09:29:43 AM,0.965,
250,03/08/2021 09:29:44 AM,0.952,
251,03/08/2021 09:29:45 AM,0.928,
252,03/08/2021 09:29:46 AM,0.977,
253,03/08/2021 09:29:47 AM,0.940,
254,03/08/2021 09:29:48 AM,0.916,
255,03/08/2021 09:29:49 AM,0.965,
256,03/08/2021 09:29:50 AM,0.940,
257,03/08/2021 09:29:51 AM,0.977,
258,03/08/2021 09:29:52 AM,0.989,
259,03/08/2021 09:29:53 AM,0.977,
260,03/08/2021 09:29:54 AM,0.965,
261,03/08/2021 09:29:55 AM,0.952,
262,03/08/2021 09:29:56 AM,0.952,
263,03/08/2021 09:29:57 AM,0.965,
264,03/08/2021 09:29:58 AM,0.965,
265,03/08/2021 09:29:59 AM,0.952,
266,03/08/2021 09:30:00 AM,0.965,
267,03/08/2021 09:30:01 AM,0.977,
268,03/08/2021 09:30:02 AM,0.965,
269,03/08/2021 09:30:03 AM,0.977,
270,03/08/2021 09:30:04 AM,0.965,
271,03/08/2021 09:30:05 AM,0.965,
272,03/08/2021 09:30:06 AM,0.965,
273,03/08/2021 09:30:07 AM,0.965,
274,03/08/2021 09:30:08 AM,0.952,
275,03/08/2021 09:30:09 AM,0.977,
276,03/08/2021 09:30:10 AM,0.989,
277,03/08/2021 09:30:11 AM,0.989,
278,03/08/2021 09:30:12 AM,0.989,
279,03/08/2021 09:30:13 AM,0.977,
280,03/08/2021 09:30:14 AM,0.989,
281,03/08/2021 09:30:15 AM,0.989,
282,03/08/2021 09:30:16 AM,1.001,
283,03/08/2021 09:30:17 AM,1.001,
284,03/08/2021 09:30:18 AM,0.989,
285,03/08/2021 09:30:19 AM,1.001,
286,03/08/2021 09:30:20 AM,1.001,
287,03/08/2021 09:30:21 AM,1.001,
288,03/08/2021 09:30:22 AM,0.989,
289,03/08/2021 09:30:23 AM,0.989,
290,03/08/2021 09:30:24 AM,0.989,
291,03/08/2021 09:30:25 AM,0.989,
292,03/08/2021 09:30:26 AM,1.001,
293,03/08/2021 09:30:27 AM,0.989,
294,03/08/2021 09:30:28 AM,0.989,
295,03/08/2021 09:30:29 AM,0.989,
296,03/08/2021 09:30:30 AM,0.989,
297,03/08/2021 09:30:31 AM,0.989,
298,03/08/2021 09:30:32 AM,0.989,
299,03/08/2021 09:30:33 AM,0.989,
300,03/08/2021 09:30:34 AM,0.989,
301,03/08/2021 09:30:35 AM,1.001,
302,03/08/2021 09:30:36 AM,1.001,
303,03/08/2021 09:30:37 AM,1.001,
304,03/08/2021 09:30:38 AM,1.001,
305,03/08/2021 09:30:39 AM,1.001,
306,03/08/2021 09:30:40 AM,1.001,
307,03/08/2021 09:30:41 AM,1.001,
308,03/08/2021 09:30:42 AM,0.989,
309,03/08/2021 09:30:43 AM,0.989,
310,03/08/2021 09:30:44 AM,1.001,
311,03/08/2021 09:30:45 AM,0.989,
312,03/08/2021 09:30:46 AM,1.001,
313,03/08/2021 09:30:47 AM,1.013,
314,03/08/2021 09:30:48 AM,1.013,
315,03/08/2021 09:30:49 AM,1.013,
316,03/08/2021 09:30:50 AM,1.013,
317,03/08/2021 09:30:51 AM,0.989,
318,03/08/2021 09:30:52 AM,1.001,
319,03/08/2021 09:30:53 AM,1.001,
320,03/08/2021 09:30:54 AM,0.989,
321,03/08/2021 09:30:55 AM,1.001,
322,03/08/2021 09:30:56 AM,0.965,
323,03/08/2021 09:30:57 AM,0.989,
324,03/08/2021 09:30:58 AM,0.989,
325,03/08/2021 09:30:59 AM,0.989,
326,03/08/2021 09:31:00 AM,0.965,
327,03/08/2021 09:31:01 AM,0.977,
328,03/08/2021 09:31:02 AM,0.989,
329,03/08/2021 09:31:03 AM,1.001,
330,03/08/2021 09:31:04 AM,0.989,
331,03/08/2021 09:31:05 AM,0.989,
332,03/08/2021 09:31:06 AM,1.001,
333,03/08/2021 09:31:07 AM,1.001,
334,03/08/2021 09:31:08 AM,1.001,
335,03/08/2021 09:31:09 AM,1.001,
336,03/08/2021 09:31:10 AM,0.989,
337,03/08/2021 09:31:11 AM,0.989,
338,03/08/2021 09:31:12 AM,0.977,
339,03/08/2021 09:31:13 AM,0.977,
340,03/08/2021 09:31:14 AM,0.977,
341,03/08/2021 09:31:15 AM,0.977,
342,03/08/2021 09:31:16 AM,0.977,
343,03/08/2021 09:31:17 AM,0.977,
344,03/08/2021 09:31:18 AM,0.977,
345,03/08/2021 09:31:19 AM,0.977,
346,03/08/2021 09:31:20 AM,0.977,
347,03/08/2021 09:31:21 AM,0.977,
348,03/08/2021 09:31:22 AM,0.977,
349,03/08/2021 09:31:23 AM,0.977,
350,03/08/2021 09:31:24 AM,0.989,
351,03/08/2021 09:31:25 AM,0.989,
352,03/08/2021 09:31:26 AM,0.989,
353,03/08/2021 09:31:27 AM,0.952,
354,03/08/2021 09:31:28 AM,0.940,
355,03/08/2021 09:31:29 AM,0.977,
356,03/08/2021 09:31:30 AM,0.952,
357,03/08/2021 09:31:31 AM,0.940,
358,03/08/2021 09:31:32 AM,0.952,
359,03/08/2021 09:31:33 AM,0.952,
360,03/08/2021 09:31:34 AM,0.952,
361,03/08/2021 09:31:35 AM,0.952,
362,03/08/2021 09:31:36 AM,0.952,
363,03/08/2021 09:31:37 AM,0.952,
364,03/08/2021 09:31:38 AM,0.952,
365,03/08/2021 09:31:39 AM,0.977,
366,03/08/2021 09:31:40 AM,0.977,
367,03/08/2021 09:31:41 AM,0.977,
368,03/08/2021 09:31:42 AM,0.977,
369,03/08/2021 09:31:43 AM,0.977,
370,03/08/2021 09:31:44 AM,0.977,
371,03/08/2021 09:31:45 AM,0.977,
372,03/08/2021 09:31:46 AM,0.977,
373,03/08/2021 09:31:47 AM,0.989,
374,03/08/2021 09:31:48 AM,0.977,
375,03/08/2021 09:31:49 AM,0.965,
376,03/08/2021 09:31:50 AM,0.965,
377,03/08/2021 09:31:51 AM,0.977,
378,03/08/2021 09:31:52 AM,0.989,
379,03/08/2021 09:31:53 AM,1.001,
380,03/08/2021 09:31:54 AM,1.013,
381,03/08/2021 09:31:55 AM,1.001,
382,03/08/2021 09:31:56 AM,0.989,
383,03/08/2021 09:31:57 AM,1.001,
384,03/08/2021 09:31:58 AM,1.001,
385,03/08/2021 09:31:59 AM,1.013,
386,03/08/2021 09:32:00 AM,1.001,
387,03/08/2021 09:32:01 AM,0.989,
388,03/08/2021 09:32:02 AM,1.001,
389,03/08/2021 09:32:03 AM,1.001,
390,03/08/2021 09:32:04 AM,1.001,
391,03/08/2021 09:32:05 AM,1.001,
392,03/08/2021 09:32:06 AM,0.989,
393,03/08/2021 09:32:07 AM,1.001,
394,03/08/2021 09:32:08 AM,1.001,
395,03/08/2021 09:32:09 AM,1.001,
396,03/08/2021 09:32:10 AM,1.001,
397,03/08/2021 09:32:11 AM,1.001,
398,03/08/2021 09:32:12 AM,1.013,
399,03/08/2021 09:32:13 AM,1.001,
400,03/08/2021 09:32:14 AM,0.989,
401,03/08/2021 09:32:15 AM,0.989,
402,03/08/2021 09:32:16 AM,1.001,
403,03/08/2021 09:32:17 AM,0.989,
404,03/08/2021 09:32:18 AM,0.989,
405,03/08/2021 09:32:19 AM,0.989,
406,03/08/2021 09:32:20 AM,0.989,
407,03/08/2021 09:32:21 AM,0.989,
408,03/08/2021 09:32:22 AM,0.989,
409,03/08/2021 09:32:23 AM,0.989,
410,03/08/2021 09:32:24 AM,0.989,
411,03/08/2021 09:32:25 AM,0.989,
412,03/08/2021 09:32:26 AM,1.001,
413,03/08/2021 09:32:27 AM,0.989,
414,03/08/2021 09:32:28 AM,0.989,
415,03/08/2021 09:32:29 AM,1.013,
416,03/08/2021 09:32:30 AM,1.013,
417,03/08/2021 09:32:31 AM,0.989,
418,03/08/2021 09:32:32 AM,1.001,
419,03/08/2021 09:32:33 AM,1.001,
420,03/08/2021 09:32:34 AM,1.013,
421,03/08/2021 09:32:35 AM,1.001,
422,03/08/2021 09:32:36 AM,1.001,
423,03/08/2021 09:32:37 AM,1.001,
424,03/08/2021 09:32:38 AM,1.013,
425,03/08/2021 09:32:39 AM,1.001,
426,03/08/2021 09:32:40 AM,0.989,
427,03/08/2021 09:32:41 AM,1.001,
428,03/08/2021 09:32:42 AM,1.001,
429,03/08/2021 09:32:43 AM,0.989,
430,03/08/2021 09:32:44 AM,0.989,
431,03/08/2021 09:32:45 AM,1.001,
432,03/08/2021 09:32:46 AM,1.001,
433,03/08/2021 09:32:47 AM,1.013,
434,03/08/2021 09:32:48 AM,1.013,
435,03/08/2021 09:32:49 AM,1.001,
436,03/08/2021 09:32:50 AM,1.001,
437,03/08/2021 09:32:51 AM,1.001,
438,03/08/2021 09:32:52 AM,1.013,
439,03/08/2021 09:32:53 AM,1.001,
440,03/08/2021 09:32:54 AM,1.001,
441,03/08/2021 09:32:55 AM,1.001,
442,03/08/2021 09:32:56 AM,0.989,
443,03/08/2021 09:32:57 AM,0.989,
444,03/08/2021 09:32:58 AM,0.989,
445,03/08/2021 09:32:59 AM,0.989,
446,03/08/2021 09:33:00 AM,0.989,
447,03/08/2021 09:33:01 AM,0.989,
448,03/08/2021 09:33:02 AM,1.001,
449,03/08/2021 09:33:03 AM,1.001,
450,03/08/2021 09:33:04 AM,1.001,
451,03/08/2021 09:33:05 AM,0.989,
452,03/08/2021 09:33:06 AM,1.001,
453,03/08/2021 09:33:07 AM,1.001,
454,03/08/2021 09:33:08 AM,1.001,
455,03/08/2021 09:33:09 AM,0.989,
456,03/08/2021 09:33:10 AM,0.989,
457,03/08/2021 09:33:11 AM,1.001,
458,03/08/2021 09:33:12 AM,1.001,
459,03/08/2021 09:33:13 AM,1.001,
460,03/08/2021 09:33:14 AM,0.989,
461,03/08/2021 09:33:15 AM,0.989,
462,03/08/2021 09:33:16 AM,1.001,
463,03/08/2021 09:33:17 AM,0.989,
464,03/08/2021 09:33:18 AM,0.989,
465,03/08/2021 09:33:19 AM,0.989,
466,03/08/2021 09:33:20 AM,0.989,
467,03/08/2021 09:33:21 AM,0.989,
468,03/08/2021 09:33:22 AM,0.977,
469,03/08/2021 09:33:23 AM,0.989,
470,03/08/2021 09:33:24 AM,0.989,
471,03/08/2021 09:33:25 AM,0.989,
472,03/08/2021 09:33:26 AM,0.977,
473,03/08/2021 09:33:27 AM,0.989,
474,03/08/2021 09:33:28 AM,0.989,
475,03/08/2021 09:33:29 AM,0.977,
476,03/08/2021 09:33:30 AM,0.977,
477,03/08/2021 09:33:31 AM,0.977,
478,03/08/2021 09:33:32 AM,0.977,
479,03/08/2021 09:33:33 AM,0.989,
480,03/08/2021 09:33:34 AM,0.989,
481,03/08/2021 09:33:35 AM,1.001,
482,03/08/2021 09:33:36 AM,0.989,
483,03/08/2021 09:33:37 AM,1.001,
484,03/08/2021 09:33:38 AM,1.001,
485,03/08/2021 09:33:39 AM,0.989,
486,03/08/2021 09:33:40 AM,1.001,
487,03/08/2021 09:33:41 AM,0.989,
488,03/08/2021 09:33:42 AM,1.001,
489,03/08/2021 09:33:43 AM,1.001,
490,03/08/2021 09:33:44 AM,1.001,
491,03/08/2021 09:33:45 AM,1.001,
492,03/08/2021 09:33:46 AM,1.001,
493,03/08/2021 09:33:47 AM,0.989,
494,03/08/2021 09:33:48 AM,1.001,
495,03/08/2021 09:33:49 AM,0.989,
496,03/08/2021 09:33:50 AM,0.989,
497,03/08/2021 09:33:51 AM,0.989,
498,03/08/2021 09:33:52 AM,0.989,
499,03/08/2021 09:33:53 AM,1.001,
500,03/08/2021 09:33:54 AM,0.989,
501,03/08/2021 09:33:55 AM,1.001,
502,03/08/2021 09:33:56 AM,0.989,
503,03/08/2021 09:33:57 AM,0.989,
504,03/08/2021 09:33:58 AM,0.989,
505,03/08/2021 09:33:59 AM,0.989,
506,03/08/2021 09:34:00 AM,0.989,
507,03/08/2021 09:34:01 AM,0.989,
508,03/08/2021 09:34:02 AM,0.989,
509,03/08/2021 09:34:03 AM,1.001,
510,03/08/2021 09:34:04 AM,1.001,
511,03/08/2021 09:34:05 AM,0.989,
512,03/08/2021 09:34:06 AM,0.989,
513,03/08/2021 09:34:07 AM,0.989,
514,03/08/2021 09:34:08 AM,1.001,
515,03/08/2021 09:34:09 AM,1.013,
516,03/08/2021 09:34:10 AM,1.013,
517,03/08/2021 09:34:11 AM,1.013,
518,03/08/2021 09:34:12 AM,1.001,
519,03/08/2021 09:34:13 AM,1.001,
520,03/08/2021 09:34:14 AM,1.001,
521,03/08/2021 09:34:15 AM,1.001,
522,03/08/2021 09:34:16 AM,0.989,
523,03/08/2021 09:34:17 AM,1.001,
524,03/08/2021 09:34:18 AM,0.989,
525,03/08/2021 09:34:19 AM,1.001,
526,03/08/2021 09:34:20 AM,0.989,
527,03/08/2021 09:34:21 AM,0.977,
528,03/08/2021 09:34:22 AM,0.977,
529,03/08/2021 09:34:23 AM,0.977,
530,03/08/2021 09:34:24 AM,0.989,
531,03/08/2021 09:34:25 AM,0.977,
532,03/08/2021 09:34:26 AM,0.977,
533,03/08/2021 09:34:27 AM,0.977,
534,03/08/2021 09:34:28 AM,0.989,
535,03/08/2021 09:34:29 AM,0.989,
536,03/08/2021 09:34:30 AM,0.989,
537,03/08/2021 09:34:31 AM,0.989,
538,03/08/2021 09:34:32 AM,0.989,
539,03/08/2021 09:34:33 AM,0.977,
540,03/08/2021 09:34:34 AM,0.977,
541,03/08/2021 09:34:35 AM,0.977,
542,03/08/2021 09:34:36 AM,0.977,
543,03/08/2021 09:34:37 AM,0.977,
544,03/08/2021 09:34:38 AM,0.977,
545,03/08/2021 09:34:39 AM,0.977,
546,03/08/2021 09:34:40 AM,0.989,
547,03/08/2021 09:34:41 AM,0.977,
548,03/08/2021 09:34:42 AM,0.977,
549,03/08/2021 09:34:43 AM,0.977,
550,03/08/2021 09:34:44 AM,0.977,
551,03/08/2021 09:34:45 AM,0.977,
552,03/08/2021 09:34:46 AM,0.989,
553,03/08/2021 09:34:47 AM,1.001,
554,03/08/2021 09:34:48 AM,0.989,
555,03/08/2021 09:34:49 AM,1.013,
556,03/08/2021 09:34:50 AM,0.977,
557,03/08/2021 09:34:51 AM,1.001,
558,03/08/2021 09:34:52 AM,0.989,
559,03/08/2021 09:34:53 AM,0.989,
560,03/08/2021 09:34:54 AM,0.989,
561,03/08/2021 09:34:55 AM,1.001,
562,03/08/2021 09:34:56 AM,0.977,
563,03/08/2021 09:34:57 AM,0.977,
564,03/08/2021 09:34:58 AM,0.965,
565,03/08/2021 09:34:59 AM,0.977,
566,03/08/2021 09:35:00 AM,0.989,
567,03/08/2021 09:35:01 AM,0.977,
568,03/08/2021 09:35:02 AM,0.977,
569,03/08/2021 09:35:03 AM,0.977,
570,03/08/2021 09:35:04 AM,0.989,
571,03/08/2021 09:35:05 AM,0.989,
572,03/08/2021 09:35:06 AM,0.977,
573,03/08/2021 09:35:07 AM,0.989,
574,03/08/2021 09:35:08 AM,0.989,
575,03/08/2021 09:35:09 AM,0.977,
576,03/08/2021 09:35:10 AM,0.977,
577,03/08/2021 09:35:11 AM,0.989,
578,03/08/2021 09:35:12 AM,0.977,
579,03/08/2021 09:35:13 AM,0.989,
580,03/08/2021 09:35:14 AM,0.977,
581,03/08/2021 09:35:15 AM,0.989,
582,03/08/2021 09:35:16 AM,0.989,
583,03/08/2021 09:35:17 AM,1.001,
584,03/08/2021 09:35:18 AM,1.013,
585,03/08/2021 09:35:19 AM,0.989,
586,03/08/2021 09:35:20 AM,1.001,
587,03/08/2021 09:35:21 AM,0.977,
588,03/08/2021 09:35:22 AM,0.989,
589,03/08/2021 09:35:23 AM,0.989,
590,03/08/2021 09:35:24 AM,0.977,
591,03/08/2021 09:35:25 AM,0.977,
592,03/08/2021 09:35:26 AM,0.965,
593,03/08/2021 09:35:27 AM,0.965,
594,03/08/2021 09:35:28 AM,0.989,
595,03/08/2021 09:35:29 AM,0.989,
596,03/08/2021 09:35:30 AM,1.001,
597,03/08/2021 09:35:31 AM,1.013,
598,03/08/2021 09:35:32 AM,0.989,
599,03/08/2021 09:35:33 AM,0.989,
600,03/08/2021 09:35:34 AM,0.989,
601,03/08/2021 09:35:35 AM,0.989,
602,03/08/2021 09:35:36 AM,0.989,
603,03/08/2021 09:35:37 AM,0.989,
604,03/08/2021 09:35:38 AM,0.977,
605,03/08/2021 09:35:39 AM,1.001,
606,03/08/2021 09:35:40 AM,1.001,
